菜品标题,特点,原料,制作流程,已发布,发布时间
香椿拌黄喉（附自制调味汁配比与秘制制鲜花椒油配方制法）,"旺销理由：
三种脆嫩的原料组合，辅以秘制鲜花椒油调味，闻起来香吃起来脆。
厨艺评论：
非常亮丽时尚的一款绿色时令菜，此菜的关键是香椿头的处理要得当，过水的时间要短，否则会发黑，香味也会流失。另外，建议把萝卜干换成野生黑木耳，这样从颜色口感上来讲会更佳。","原料：
萧山萝卜干120克，鲜猪黄喉150克，香椿芽100克，小香葱40克。
调料：
小米椒末12克，自制调味汁28克，秘制鲜花椒油10克，。
自制调味汁配比：
恒顺香醋各12克，盐家乐辣鲜露各3克，李锦记天成一味酱油8克，鸡汁2克。
秘制制鲜花椒油配方制法：
鲜花椒2500克，烧老姜250克（拍破的姜在火上烧干表面水分），炒香叶50克，干葱头香芹各100克（放入烤箱烤干水分），一起放入坛子中，加生菜子油1500克，再加入花生油7500克，烧至二成热，密封（坛子周围抹上泥巴），存放10天即成。","制作方法：
（1）萧山萝卜干加自制花椒油5克拌匀，放碗内垫底。
（2）猪黄喉洗净，切成连刀块，汆水，冰镇半小时，挤干水分，加入剩余5克秘制鲜花椒油及自制调味汁拌匀，放在萝卜干上。
（3）香椿芽切末，加盐水（浓度为3）焯水，再用脱水器脱水撒在黄喉上，用小香葱点缀即成。",未发布,
秘制脱骨鸡爪（附特制香卤水配方制法）,"旺销理由：
去骨大凤爪是加工涨发后的冰鲜熟制品，它具有个大无骨外形完整口感脆嫩色泽浅黄不添加色素使用方便等优点开袋即可用于制作泡凤爪，是一道开胃下酒的凉菜，倍受食客喜欢。
厨艺评论：
鸡爪肉质肥厚，是佐酒的好菜，但此菜颜色不够亮丽，可加黄姜粉泡制解决这个问题。我店有一款菜与此菜做法大致相同，我们放少许麦芽酚，香味更浓。","原料：
熟美国去骨大凤爪300克。
调料：
特制香卤水2500克。
特制香卤水配方制法：
原料：
花生油100克，A料（蒜子50克，圆葱块40克，青尖椒20克，姜块香菜段各10克），B料（白芷桂皮各16克，香叶小茴香各10克），C料（恒顺香醋生抽各500克，老
抽15克，蚝油鸡精盐红油各10克，芝麻油5克，冰糖150克，香辣牛肉酱50克，辣妹子酱7克，味鲜素5克，花生油1千克）。
制作：
净锅下花生油烧至四成热，下B料煸香，接着放A料炒出蔬菜的清香味，加入C料小火煮20分钟，离火待汤汁冷却，捞出料渣即成特制香卤水。","制作方法：
（1）取去骨大凤爪改刀成三段（先将整鸡爪一切两段，再将爪部一切为二）。
（2）放入特制香卤水浸泡3小时捞出装盘。",未发布,
（长沙龚得包餐饮连锁店特色家常菜）江湖藕片炒山药（附自制香辣酱配方制作）,"介绍：
此菜中用到的藕和山药都是去皮切片后洗净直接炒制的，并没有飞水，防止原料两次加热而熟透失去爽脆的口感；调味时用辣妹子和剁辣椒炒制而成的自制辣酱，咸鲜香辣。
菜品制作：
龚劲龙，擅长湘菜制作，现任长沙龚得包餐饮连锁店总经理。
吴曲，擅长湘菜制作，现任长沙龚得包总店厨师长。","原料：
藕200克，山药100克。
调料：
自制香辣酱15克，味精2克，鸡粉2克，高汤150克，蒸鱼豉油5克，蚝油5克，姜片蒜片共5克，杭椒段5克。
自制香辣酱配方制作：
净锅下200克色拉油烧热，下入辣妹子辣酱250克挤干水的剁椒100克，大火翻炒均匀，自然晾凉即可。取用时要先搅拌均匀。","制作方法：
（1）藕山药去皮改刀成片，洗净控水备用。
（2）锅留底油烧热，下入姜片蒜片自制香辣酱炒香，加入藕片山药片中火煸炒均匀，加入高汤蒸鱼豉油味精鸡粉小火煨1分钟至汤汁浓稠，加入杭椒段蚝油翻炒均匀即可出锅。
制作关键：
自制香辣酱含盐量很高，所以只加入少量蚝油和蒸鱼豉油即可。",未发布,
（长沙龚得包餐饮连锁店旺销特色菜品）鲜蘑辣酱蒸鱼头（附自制鲜蘑辣酱配方制作）,"介绍：
蒸鱼加蘑菇，成菜自然香，传统湘式蒸鱼头以独具特色的辣椒酱为主要调味品，而在龚得包，制作辣酱时加入了鲜蘑，蒸出的鱼头异常鲜美，刚推出便俘获了一众老饕的胃口。吴师傅说：这道菜最早推出时是将口蘑切末后制作鲜蘑辣酱的，但是推出之后便有一位食客怀疑此菜制作时加入了增香剂。于是我们便试着将口蘑切成小片而不是末，口味依然很香，卖相也更加好看。
菜品制作：
龚劲龙，擅长湘菜制作，现任长沙龚得包餐饮连锁店总经理。
吴曲，擅长湘菜制作，现任长沙龚得包总店厨师长。","原料：
花鲢鱼头一个约1干克。
调料：
自制鲜蘑辣酱70克，蚝油5克，味精2克，鸡粉2克。
自制鲜蘑辣酱配方制作：
净锅下猪油（或鸡油）250克色拉油250克烧热，加姜末蒜末各20克炸香，下入干豆豉30克黄贡椒酱1干克（辣椒和汁水各500克），淋入蒸鱼豉油10克，再下入切好的口蘑片500克熬制10分钟，下入味精20克盐20克蚝油20克调匀，自然晾凉后即为鲜蘑辣酱。","制作方法：
（1）鱼头去鳃，剖开后洗净控水，在表面均匀地涂抹上蚝油味精鸡粉。
（2）鱼头放入深口盘内，在表面均匀地铺上鲜蘑辣酱，上笼旺火足汽蒸10分钟至熟取出，撒上香菜即可上桌。",未发布,
（沈阳1215会所创新菜品）蘑菇酱蒸鳕鱼（附自制蘑菇酱配方制作）,"介绍：
沈阳1215会所最近也推出了一款鱼鲜蘑的蒸菜，名叫蘑菇酱蒸鳕鱼，行政总厨赵国镇特意选择了三种不同的香菇制作蘑菇酱：香菇茶树菇白玉菇切末后炒制，充分释放鲜香味；走菜时又点级少许用鸡汤煨制的白玉菇，从卖相上突出菌菇主题，美化盘面。推出至今，一直是商务宴会的必上莱肴。
菜品制作：
赵国镇，现任辽宁省沈阳市1215会所行政总厨。","原料：
银鳕鱼鱼脯150克，白玉菇15克，鲜虫草花20克，菠菜段30克，鸡汤50克。
调料：
自制蘑菇酱20克，花雕酒20克，海鲜酱油10克。
自制蘑菇酱配方制作：
锅内加鸡油猪油色拉油各500克上火烧至三成热，下入泡发的干香菇末（干香菇的菌香浓郁）250克鲜茶树菇末250克鲜白玉菇末250克小火慢炸10分钟至香，调入家乐菌菇汁（质地浓稠，呈棕褐色）100克蘑菇精20克味精20克小火翻熬5分钟，关火放凉即成。
注：
熬好的酱上面有一层油，使用时取一部分固体酱料带一层油，这样蒸好的银鳕鱼滑润鲜香。","制作方法：
（1）鱼脯整块洗净，沥干水分，加花雕酒香葱丝香菜段腌制两分钟后将香菜段拣出，抹上自制蘑菇酱放入碗中，撒上香葱段泰椒段各10克，封保鲜膜，上笼旺火蒸6分钟。
（2）虫草花菠菜段飞水，捞出沥水后垫在盘底，浇上海鲜酱油；白玉菇入鸡汤小火煨2分钟至入味。
（3）将蒸好的鱼取出放到垫有菠菜虫草花的盘中，摆上煨好的白玉菇即可上桌。",未发布,
（南京烟波渔港酒店特色旺销新菜）翠椒蒸山药（附自制翠椒制法）,"风向指标：
此菜借鉴湖南酱椒鱼头的做法，用自制的翠椒蒸制山药，色彩搭配清爽醒目山药脆爽，汤汁鲜辣，口味更加丰富，适合夏季推出非常热销。
菜品制作：
夏先双，擅长制作江鲜菜及南京土菜，现任南京烟波渔港酒店厨师长。","原料：
脆山药500克，自制翠椒150克。
调料：
海南黄灯笼辣椒酱10克，美极蒸鱼豉油100克，葱花红椒米各6克，美极鲜鸡粉5克，美极鲜辣汁2克。
自制翠椒制法：
将洗净的青辣椒1500克去蒂子，风干水分（晾晒），切成黄豆粒大小，加入野山椒3克，白糖70克，汾酒25克，盐10克，放入干净的泡菜坛内，加常温的纯净水，盖盖，密封，腌制5天即可。","制作方法：
（1）将山药去皮切成0.3厘米厚的片，放在盘中。
（2）将自制翠椒盖在山药上，放上黄灯笼辣椒酱，倒入美极蒸鱼豉油美极鲜辣汁美极鲜鸡粉上笼蒸5分钟，最后撒上葱花红椒米即成。",未发布,
（北京有�Z阁创新概念水煮鱼菜式）概念水煮石斑鱼（附秘制水煮汤制法）,"技术革新：
此菜把中国传统的水煮菜式进行创新改良，既保留了传统水煮菜的麻辣，又去掉了油腻感，口感更加清爽，非常符合现在营养健康理念。
菜品制作：
付洋，曾经在北京京伦饭店北京海逸北京紫云轩东方寒舍上海黄浦会等顶级酒店和
餐厅担任过厨师长行政总厨，先后两次赴新加坡同乐饮食集团旗下星级酒店工作并担任厨师长，现任北京有Z阁餐饮管理有限公司的总经理厨事总监。
厨艺评论：
此菜把普通的水煮鱼植入了概念元素，从烹调技法上做改良，真正做到了健康营养，又不失口感，制作方法简单，在酒店可进行批量制作。","原料：
石斑鱼1250克，姬菇滑子菇金针菇各50克。
调料：
鲜花椒20克，秘制水煮汤800克
秘制水煮汤制法：
锅入色拉油15克烧热，入花椒5克，麻椒3克，青红泰椒各10克炝锅，倒入清鸡汤400克大火烧开，转小火煮20分钟，加鸡粉3克，小葱段香菜各5克，中火煮3分钟即可。","制作方法：
（1）将姬菇滑子菇金针菇洗净，焯水，入盛器中垫底。
（2）石斑鱼治净，改刀成4x2.5x0.6厘米的片，煮熟摆入盛器中。
（3）将秘制水煮汤加热浇在盛器内，撒鲜花椒即可。",未发布,
菌香爆带子（北京聚宝渔港酒店创意新食材系列）,"食材小介：
这种带子最大的特点是个头超级大，从外观来看，好似土鸡蛋一般，给客人的感觉是这种带子上档次，点后有面子，其实它与普通带子的价格几乎没有差异。它是一种经过深加工的速冻品，与普通带子相比，它细嫩中带有一定脆性，经过烹调后也不会发散和大量失水。烹调
时，我们可以直接将它改刀，然后进行焯水处理，无需码味。至于它的烹调方法，跟普通带子完全相同。
菜品制作：
黄浩新，北京市烹饪大师，中华金厨奖八方食圣金厨帽得主，现任北京聚宝渔港行政总厨。","原料：
大带子4个（约200克），白灵菇150克，蜜豆彩椒片各20克。
调料：
小料（葱段15克，姜片蒜片各10克），色拉油500克（约耗60克），A料（盐味精各5克，美极鲜味汁3克，白糖胡椒粉各1克），卤肉汁800克，湿淀粉5克。","制作方法：
（1）白灵菇洗净，放入卤肉汁中小火卤制1小时，取出后切成大片，放入烧至六成热的色拉油中炸制0.5分钟，取出控油。
（2）大带子一开为二，放入沸水中大火焯透，捞出控水，再入烧至三四成热的色拉油中小火滑5秒捞出控油；蜜豆焯水。
（3）锅内放入色拉油20克，烧至七成热时，放入小料爆香，下入白灵菇蜜豆彩椒片A料，大火翻匀，最后下入大带子用湿淀粉勾芡出锅装盘。",已发布,2025-10-19 22:50:49
（成都老房子餐饮特色家常菜）酸萝卜炒月牙骨（附跳水白萝卜片制法）,"味型分析：
这道菜是我们酒店考察江西赣菜的醋果子（腌制的萝卜泡菜）小炒系列改良而来，菜品在原来的基础上去掉了辣椒面改成了杭椒，令口味变得的更清爽，再加上粤菜里的蒸鱼豉油，使这道菜辣得更鲜滑。
菜品制作：
尹晓春，现任成都老房子餐饮管理有限公司行政总厨。
酒店介绍：
成都老房子餐饮管理有限公司拥有老房子螃蟹酒家老房子水上人家老房子大河谷酒楼，均以反映人与自然的关系和民居文化为主题以独特的川式螃蟹与水文化的巧妙结合为经营内容。装饰上独具匠心，硬件设施现代。作为蓉城首家专业螃蟹酒家，率先把川菜和海鲜螃蟹有机地结合起来，并着力挖掘川西民风民俗和江南水乡的古老菜肴，从色形味等诸多方面形成了自己独有的菜品风格，其螃蟹菜品多达几十种，其中老房子神仙大肉蟹辣子炒肉蟹河谷烤鱼仔乾坤霸王蟹香菇钵钵肉蟹等为代表菜品。2000年6月，老房子成功地举办了老房子首届美食节，成为千禧之夏蓉城餐饮一道靓丽的风景线。
厨艺评论：
菜品的融合已经跨越了菜系，此菜用熟猪油煸炒月牙骨，借用了湘菜的特色，令菜品更加香浓。白萝卜的腌制也突破了传统泡菜制作的方法。","原料：
卤月牙骨片150克，跳水白萝卜片200克。
调料：
生抽蒸鱼豉油盐各5克，红椒丝50克，蒜苗花10克，熟猪油15克。
跳水白萝卜片制法：
将白萝卜片20克，用野山椒水500克盐5克白醋40克泡1小时即可使用，不要泡太长时间，时间长了萝卜不脆口味过酸。","制作方法：
（1）将炒锅放在火上烧热，加熟猪油煸炒月牙骨至熟。
（2）待出香气时加入跳水萝卜红椒丝，烹入生抽和蒸鱼豉油盐，加入蒜苗花翻炒，起锅装盘即可。",未发布,
（北京欣叶餐厅正宗台菜系列）桔香中卷（附自制桔香酱汁制作）,"主厨介绍：
台湾菜非常擅长水果的应用，我将海鲜搭配桔汁，口感非常清新鲜嫩。
菜品制作：
郑坤银，现任北京欣叶餐厅台湾料理主厨。
注：
中卷，又名透抽，就是鲜鱿鱼，体积大的就叫鱿鱼，小的叫小卷，而介于鱿鱼与小卷之间（约1518厘米）的鲜鱿鱼即是中卷。","原料：
中卷500克
调料：
自制桔香酱汁15克，色拉油600克（约耗20克），太白粉30克，香菜2克。
自制桔香酱汁制作：
将桔饼木瓜丝黑枣冬瓜糖各200克，水900克，米酒默林辣酱油1200克，冰糖乌醋各30克，麦芽糖1500克，金兰酱油1千克，用小火熬制。","制作方法：
（1）将中卷去皮洗净斜刀将原料切成每块约5克重，粘太白粉备用。
（2）锅入色拉油烧至约飞30，将中卷放入后炸至金黄色捞起。
（3）锅内放入桔香酱汁，再放入炸好中卷快炒，拌匀即可上盘，再将香菜放于盘边即完成。",未发布,
（北京欣叶餐厅正宗台菜系列）私房卤活鲍鱼（附药料汁与卤料汁配方）,"主厨介绍：
这道菜的鲍鱼入味非常好，吸收了党参等中药材的精华，再与汁水一起半冰冻，肉质口感冰爽脆嫩。
菜品制作：
郑坤银，现任北京欣叶餐厅台湾料理主厨。
介绍：
在欣叶饭店我们着实体验了一把正宗台菜。一道私房卤活鲍彻底征服了顾客的胃。郑师傅处理活鲍的手法和传统做法不同，拿别人不用的萝卜皮煮鲍鱼，用来增加甜香味，再搭配中药材冰冻起来，令活鲍的口感清新爽脆。
私房手法一煮鲍入底味：
这道菜选用了8头的南非活鲍，然后用白萝卜皮姜片30年米酒盐味精水来煮活鲍，这个过程是为了增加鲍鱼的底味。其中加入白萝卜皮可以增加香气和甜度米酒和姜片则有祛腥的效果。
私房手法二搭配中药材蒸制：
将煮好的鲍鱼捞出放在带有党参北其的汁水中上笼蒸制，这个步骤令鲍鱼充分吸收中药材的精华与味道。
私房手法二带着汁水半冷冻：
将蒸好的鲍鱼和汁水放凉，然后分成一个个的用塑料袋封起来（带着汁水的鲍鱼），放到冷冻冰箱里半冷冻。这是最好的储存方式适合批量生产，但只能存放2天，此方法不仅可以令鲍鱼的口感变得爽脆，还能延长储存时间，随用随取即可。","原料：
8头活鲍鱼，白萝卜300克，水3千克。
调料：
盐味精各5克，姜片8克，30年米酒10克，药料汁2700克，卤料汁1100克。
药料汁配方：
党参40克，北芪30克，鲍鱼酱240克，味精20克，水2400克。
卤料汁配方：
酱油膏50克,，酱油80克，味精15克，砂糖20克，胡椒粉5克，水900克。","制作方法：
（1）将活鲍鱼洗净和白萝卜切片，用3千克水小火煮90分钟捞出（白萝卜和汤不要）。
（2）用不锈钢锅盛放鲍鱼和药料汁一起蒸120分钟，蒸好后带汤冰冻起来。
（3）将卤料汁入锅小火煮60分钟，等其味道出来，再将鲍鱼放入锅卤20分钟，捞起摆盘即可上桌。",未发布,
米椒水晶虾（附水晶虾仁透明诀窍技术解析）,"创意：
此菜将小米椒和虾仁巧妙结合，成菜酸辣醇厚，鲜香可口，开胃健脾。晶莹剔透的大虾仁制作讲究，为本菜添色不少。
技术解析：虾仁透明诀窍
看到左边这道菜底你肯定会很吃惊，为什么他的虾仁炒得这么漂亮，自己却炒不出这样的效果呢？带着这个问题，我们看看菜肴的制作者彭加瑞师傅是通过哪些诀窍做到虾仁晶莹剔透的。
诀窍一：陈村枧水发
虾仁在浆制前，一定要用陈村枧水发制。陈村枧水是一种弱碱性的食品添加剂，它能起到疏松组织的作用。一般，我选用泰国大虾仁，500克时加入20克陈村枧水，存放30分钟左右，抓匀后冲水即可。
诀窍二：小苏打继续疏松
也许有人感觉已经加了陈村枧水，就不用再添加其他疏松剂了，其实这种想法并不对。小苏打的作用除了疏松组织外，还有兜住水分的作用，而且可以防止虾仁在搅打过程中吐水。所
以在加入盐后，我又添加了小苏打（500克青虾仁添加23克小苏打）。
诀窍三：鸡蛋清打成蛋泡糊
平时浆虾仁，大家都是直接加入鸡蛋清，不论怎么搅抓，鸡蛋清都不会与虾仁融合到最佳状态。现在，我将鸡蛋清提前搅打成蛋泡糊，然后加入生粉拌匀，再给虾仁上浆，透明度自然比较高。
诀窍四：低温存放
大家都知道，虾仁浆好后一定要饧发一段时间，烹调效果才好。平时，大家都存放在05的保鲜箱内，而我将温度调到了零下30。在低温状态下存放30分钟，虾仁的肉质被收紧，就如同制作 白切鸡一样，口感变得更加爽脆。
诀窍五：滑油110
虾仁的滑油温度一定要控制准确，滑出来的虾仁才能剔透。为了方便测量油温，我把用油量固定为1200克，我用测温笔测试了一下，油温在113.5左右时下入500克虾仁，下入后油温降为100左右。油温过低，虾仁就会脱浆；油温过高就会老，影响口感和透明度。
徐力点评：两次冰镇很关键
我在制作清炒虾仁时，一般会选择现剥河虾仁。虾仁剥好后，先别急着加料，而是要先冰镇12个小时（冰镇可以使虾仁吃起来口感更爽脆）。冰镇后，将500克虾仁2.5克苏打粉2.5克食用碱水少许白糖（白糖可祛除添加剂带来的苦涩味）拌匀，放入一个大盆内，放入冰块覆盖虾仁，饧发3个小时。用冰块覆盖可以使虾仁的色泽更白，肉质更爽脆。取出河虾仁后冲水，时间也在34个小时。冲水时，水温最好控制在10以下，否则长时间冲水容易将肉松散。冲水后，就可按照正常的方法浆制了，正如前文彭师傅说得那样，将鸡蛋清打成蛋泡糊，上浆效果更好。
张伟点评：上浆好不好看浮力
做好的虾仁是否晶莹剔透，主要取决于四个方面：原料品质上浆程度滑油时的温度控制勾芡效果。但是总的来说，上浆还是最关键的。在我们酒店，检验虾仁上浆是否到位的方法是：取一盆清水，下入几个七好浆的虾仁，如果虾仁浮在水面，就证明上浆好了，如果下沉就说明虾仁的盐分含量过多。看到这里你可能要问，盐量多少跟虾仁上浆有什么关系，只要菜肴做好后口味不咸，不就可以了？我们都知道，盐量的多少决定了虾仁上劲的程度，为了让虾仁更好地上劲，很多厨师往往将菜肴所需的盐分统统放在上浆环节。这样，虽然虾仁很容易上劲，但过多的盐分也会导致虾仁在滑油或汆水环节中大量失水，光泽度和透明度也随之下降。
如果虾仁沉入水中怎么办？只能捞出冲水，然后重新浆制。
彭加瑞回馈制作失误点：
从试制成品的效果看，虾仁浆制不成功，一是虾仁不透明也不饱满，二是肉滑老了，分析原因，有四处失误。
1选料失误：
冲水后的虾仁表面不光滑，肉质也有些松散，说明虾仁的品质比较差。
2加料失误：
从试制图片看，冲水后的虾仁比较干瘪，而且不光亮，这说明在冲水前，没有加人足够的陈村枧水浸泡。另外，加了盐搅打上劲后，一定要加入小苏打续搅打至起胶，然后才能放蛋泡糊。小苏打主要有锁住水分和蓬松纤维的作用，成品肉质发死，就是因为没有添加小苏打的缘故。
3冷藏失误：
虾仁的冷藏时间明显不够，导致浆没有进入原料内部，而是浮于表面，所以滑出来的成品表面发白，而且有毛刺。冷藏时间一定要在23个小时以上。将虾仁放入冰箱后，每隔4060分钟搅打一次，可以使浆和虾仁溶合得更好。
4油温控制失误：
从成品图看，虾仁的肉质非常老，这主要是因为滑油时油温太高造成的。正确的方法是，下入虾仁后一定要将锅端离火口，待感觉油面不再有小泡产生时，再小火加热，整个滑油时间大概为40秒。","原料：
泰国大虾仁350克，清炒青菜胆8棵，青杭椒节10克，红杭椒节15克，袋装泡黄小米椒节30克。
调料：
湿淀粉3克，香油5克，色拉油1千克（约耗50克），红油50克，A料（味精鸡粉各3克，鸡汁白糖各2克，白醋5克），小料（马蹄葱2克，姜片1克，蒜片5克）。","制作方法：
（1）虾仁去沙线，挤干水分，上浆，搅拌均匀后下入零下35的冰箱内，静置30分钟。
（2）锅置火上，下入色拉油，烧至三四成熟时，下浆好的虾仁，小火滑散，捞出控油。
（3）锅内放入红油20克，烧至七成热时，放入小料小米椒节青红杭椒爆香，再下入虾仁进行翻炒，调入A料，勾入湿淀粉，淋30克红油香油出锅，放入盘中，周围点缀清炒青菜胆即可。",未发布,
（重庆莲花石大酒店特色菜品）鸡豆花烩玉米（附自制鸡豆花制作工艺）,"特点：
鸡豆花滑嫩鲜香，成菜口味咸鲜。
介绍：
做出滑嫩鸡豆花制作鸡豆花是川菜中传统的技法，是将鸡脯肉剁成茸余制而成，因为口感酷似豆花因而得名，但汆出的鸡豆花颜色发乌。而且由于汆制时水温不好控制，鸡豆花易煮老不滑嫩，莲花石酒店在制作时就变汆为蒸，先将鸡肉茸入热水烫至定型。再带汤上笼蒸制，这样既能保证鸡豆花的颜色纯正，又使口感更细腻。
菜品制作：
刘洪彬，国家高级烹调师，从厨22年，擅长川菜制作，现任重庆莲花石大酒店行政总厨。","原料：
自制鸡豆花150克，罐装玉米粒200克，清鸡汤150克。
调料：
鸡汁5克，盐1克。
自制鸡豆花制作工艺：
1鸡胸肉用木锤先慢后快反复捶打成茸，用刀将鸡肉茸在砧板上抹平，用细铁钎挑出肉筋，做成鸡肉茸备用。
2鸡肉茸纳入盆中，边搅拌边加入清鸡汤，汤加完后下盐反复搅拌，将清鸡汤收进鸡肉茸，如此反复三次（10斤鸡肉茸分三次加入清鸡汤10斤盐20克），至鸡肉茸滑嫩后加入鸡蛋清（10斤肉加300克鸡蛋清）拌匀即为坯料。
3盆中加清汤20斤盐25克搅匀，上火烧热，并小火保持在70左右，将坯料依次用大汤勺舀起后压实，下入热清汤中，上笼旺火足汽蒸5分钟后取出，将鸡豆花捞起，放入清汤（加入盐25克烧开晾凉即可）凉透，防止鸡豆花持续受热失去滑嫩的口感。
问：
调制坯料时，为什么要分三次向鸡肉茸中加入清鸡汤和盐？
答：
调制鸡肉茸时清鸡汤不可一次加入过多，可分三次加入，以使鸡肉充分吸入汤汁；清鸡汤加完后再加盐搅拌，直到水分基本被肉茸吸收，再重复下一次操作，这样做出的鸡豆花口感才滑嫩。","制作方法：
（1）鸡豆花改刀成块；玉米粒飞水备用。
（2）净锅下清鸡汤烧开，加入鸡豆花玉米粒，调入盐鸡汁，大火烧开转小火煨1分钟至入味，勾薄芡即可出锅。",未发布,
（重庆五洲大酒店创意精品菜）金笋香排（附秘制油卤水配方制法）,"介绍：
秘制油卤水可以将排骨里的油脂抽出来，因此油卤排骨反而不腻。除此之外，油卤可以将脆笋里的水分吸出，长时间加热使其口感更脆更香。
菜品制作：
刘昌伦，从厨22年，擅长川菜粤菜厨房管理，现任重庆五洲大酒店行政总厨。
酒店介绍：
重庆五洲大酒店是一家五星级高档酒店，主打粤菜川菜融合菜等。刘昌伦是五洲大酒店第一位本乡本土的行政总厨，而当地的其他五星级大酒店基本都是由粤菜大佬掌厨。
刘昌伦由川菜厨师长升任行政总厨以来，出菜思路灵活，他既了解重庆客人的口味，又擅于研究外地客人的心理，推出的融合菜既非麻辣火爆的江湖菜，也不是正宗的粤菜，但是每一道菜都具有新颖的构思和拿捏精准的口味，受到了高端消费客人的欢迎","原料：
猪前排400克，干方竹笋200克。
调料：
秘制油卤水一锅。
秘制油卤水配方制法：
配料：
干辣椒200克，花椒20克，生姜100克，大葱100克，八角60克，沙姜20克，桂皮20克，小茴香20克，草果20克，丁香10克，砂仁20克，盐鸡精各适量，鲜汤1干克，混合油6千克（熟菜油3千克和色拉油3千克混合均匀）。
调制方法：
1草果拍破去籽，和八角沙姜桂皮小茴香丁香砂仁一起放入盆中，加入清水浸泡3小时，捞起沥干水分，包入纱布中成香料包。
2将干辣椒去籽剪成节，生姜拍破，大葱切段备用。
3锅入混合油烧至三成热，下入香料包浸炸约30分钟至出香，下干辣椒花椒生姜大葱炸香，下入鲜汤熬开，调入盐继续熬30分钟，加入鸡精调匀即成油卤水。
4熬好的油卤水中几乎全是香料和油，汤水的含量很少（油：水的比例为6：1）。由于油分较大，烧开的卤水温度很高，因此原料的卤制时间可适当缩短。","制作方法：
（1）排骨切寸段，冲掉血水，冷水下锅焯透，捞出后入八成热油炸至紧皮，起锅控油。
（2）干方竹笋入淘米水浸泡12小时至透，捞出入盆，加入适量老鸡块清水姜葱，覆膜上笼旺火蒸2小时至入味，捞出切段。
（3）将炸好的排骨蒸好的脆笋一起入油卤水中小火卤30分钟至离骨，捞出。
（4）取一块排骨一条脆笋包入锡纸中，依次包好后将底部埋入热盐中。",已发布,2025-10-20 09:59:28
（北京西城后海红邸餐厅私家美食）酱皇自制豆腐（自制特色酱皇制法）,"味型分析：
自制豆腐在很多酒店都有销售。在以往都是搭配韭花酱蒜泥辣椒酱等调料食用。这款菜选用了特色的酱料配合豆腐食用，赋予豆腐更为清香的口味，这款特色酱料是用海米干贝炸葱头牛肉松泰国鸡酱白灵菇松茸杏鲍菇等制作，口味绝对值得你去尝试。
菜品制作：
陈付勇，现任北京西城后海红邸餐厅行政总厨。
厨艺评论：
这款菜做法简单，但是酱料的运用却起到非常好的提味作用。菌菇不宜炸得太干，否则入口不够细滑。","原料：
东北大豆100克。
调料：
豆腐老卤0.5克，特色酱皇50克。
自制特色酱皇制法：
1淡干海米250克去掉外面的虾皮，放入色拉油中炸至酥香，取出粉碎。
2干贝500克发好，用双蒸酒炒干水分，而后油炸至酥香搓成细丝。
3鲜白灵菇鲜松茸鲜杏鲍菇共100克（用量可以根据酒店档次进行调整）分别切碎，油炸至干香。
4泰国辣酱2/3瓶放入粉碎机内打碎取出略微过滤，加入油炸过的原料油炸干葱头蓉500克牛肉松100克混合均匀即可。","制作方法：
（1）东北大豆用清水浸泡12个小时捞出控水，制成豆浆。
（2）生铁锅洗净倒入磨好的豆浆，用小火烧开倒入豆腐老卤调匀，细纱布铺在豆腐容器上，将豆花倒入，轻压5分钟即成豆腐。
（3）豆腐切成4厘米见方的大块，摆入盘中淋上特色酱皇食用。",未发布,
（新疆乌鲁木齐幸运楼酒店旺销家常菜）黄鱼扒大茄（附自制调味酱配方）,"卖点：
此菜融合了咸甜酸辣四味，出品鱼肉酥香滑嫩，长茄糯软，海黄鱼与长茄搭配，营养丰富。
厨艺评论：
建议煎黄鱼用黄油煎，不用拍吉士粉。茄子可以打花刀后再炸制，皮色会好看点。","原料：
长茄500克，东海黄鱼400克。
调料：
A料（盐味精各5克，料酒10克），吉士粉40克，生粉10克，大葱姜蒜各20克，自制调味酱110克，香葱末5克，熟猪油30克，色拉油1千克（约耗60克）。
自制调味酱配方：
八角1个，干辣椒15克，白糖25克，老醋30克，海天黄豆酱甜面酱味达美酱油各10克料酒5克，盐味精鸡精各3克。","制作方法：
（1）东海鲜黄鱼宰杀，清洗干净改刀为段，加A料腌渍5分钟，用清水冲一下，拍上吉士粉。
（2）长茄开瓣改柳叶刀，改条，粘生粉，入五六成热油锅中炸至金黄色控油捞出。
（3）另起锅入熟猪油烧热放入黄鱼段煎至两面金黄，下入葱姜蒜。再入调好的自制调味酱炒香，再放入长茄焖至34分钟出锅装盘，撒葱末上桌。
关键：
黄鱼拍粉时不宜过厚，否则食用时将会有一层厚面糊影响口感，拍粉主要是为了保持原料形状和嫩度。",未发布,
